COUNTY,field_2,UNIT,DIRECTION,LENGTH,
bari,6,34375,2,1975.578,
bari,6,34377,1,5000,
bari,6,34377,2,5000,
bari,6,34378,2,103.984,
bari,6,34401,1,2412.875,
bari,6,34401,2,4872.328,
bari,6,34402,1,5000,
bari,6,34402,2,5000,
bari,6,34403,1,1784.828,
bari,6,34403,2,3842.344,
bari,6,34404,1,5000,
bari,6,34404,2,5000,
bari,6,34405,1,5000,
bari,6,34405,2,4883.25,
bari,6,34406,1,5000,
bari,6,34406,2,5000,
bari,6,34407,1,5000,
bari,6,34407,2,5000,
bari,6,34408,1,5000,
bari,6,34408,2,5000,
bari,6,34411,1,5000,
bari,6,34411,2,5000,
bari,6,34412,1,5000,
bari,6,34412,2,5000,
bari,6,34413,1,5000,
bari,6,34413,2,5000,
bari,6,34414,1,5000,
bari,6,34414,2,5000,
bari,6,34415,1,5000,
bari,6,34415,2,5000,
bari,6,34416,1,5000,
bari,6,34416,2,5000,
bari,6,34417,1,5000,
bari,6,34417,2,5000,
bari,6,34418,1,5000,
bari,6,34418,2,5000,
bari,6,34421,1,5000,
bari,6,34421,2,5000,
bari,6,34422,1,5000,
bari,6,34422,2,5000,
bari,6,34423,1,5000,
bari,6,34423,2,5000,
bari,6,34424,1,5000,
bari,6,34424,2,5000,
bari,6,34425,1,5000,
bari,6,34425,2,5000,
bari,6,34426,1,5000,
bari,6,34426,2,5000,
bari,6,34427,1,5000,
bari,6,34427,2,5000,
bari,6,34428,1,5000,
bari,6,34428,2,5000,
bari,6,34431,1,5000,
bari,6,34432,1,3322.448,
bari,6,34433,1,5000,
bari,6,34434,1,5000,
bari,6,34435,1,3318.578,
bari,6,34437,1,5000,
bari,6,34462,1,3322.448,
bari,6,34464,1,5000,
bari,6,34468,1,4312.984,
bari,6,34473,1,656.391,
bari,6,34473,2,410.875,
bari,6,34501,2,4161.766,
bari,6,34502,1,5000,
bari,6,34502,2,5000,
bari,6,34503,1,2423.359,
bari,6,34503,2,5000,
bari,6,34504,1,5000,
bari,6,34504,2,5000,
bari,6,34505,1,5000,
bari,6,34505,2,3731.891,
bari,6,34506,1,5000,
bari,6,34506,2,5000,
bari,6,34507,1,5000,
bari,6,34507,2,5000,
bari,6,34508,1,5000,
bari,6,34508,2,5000,
bari,6,34511,1,5000,
bari,6,34511,2,5000,
bari,6,34512,1,5000,
bari,6,34512,2,5000,
bari,6,34513,1,5000,
bari,6,34513,2,5000,
bari,6,34514,1,5000,
bari,6,34514,2,5000,
bari,6,34515,1,5000,
bari,6,34515,2,5000,
bari,6,34516,1,5000,
bari,6,34516,2,5000,
bari,6,34517,1,5000,
bari,6,34517,2,5000,
bari,6,34518,1,5000,
bari,6,34518,2,5000,
bari,6,34521,1,5000,
bari,6,34521,2,5000,
bari,6,34522,1,5000,
bari,6,34522,2,3076.531,
bari,6,34523,1,5000,
bari,6,34523,2,5000,
bari,6,34524,1,5000,
bari,6,34524,2,5000,
bari,6,34525,1,5000,
bari,6,34525,2,5000,
bari,6,34526,1,959.203,
bari,6,34526,2,1578.641,
bari,6,34527,1,5000,
bari,6,34527,2,5000,
bari,6,34528,1,5000,
bari,6,34528,2,4581.703,
bari,6,34533,1,1817.391,
bari,6,34601,2,649.938,
bari,6,34602,1,802.172,
bari,6,34602,2,5000,
bari,6,34603,2,3144.813,
bari,6,34604,1,5000,
bari,6,34604,2,5000,
bari,6,34606,1,3083.531,
bari,6,34606,2,2730.859,
bari,6,34607,1,487.391,
bari,6,34607,2,2329.25,
bari,6,34608,1,5000,
bari,6,34608,2,5000,
bari,6,34611,1,5000,
bari,6,34611,2,5000,
bari,6,34612,1,5000,
bari,6,34612,2,5000,
bari,6,34613,1,5000,
bari,6,34613,2,5000,
bari,6,34614,1,5000,
bari,6,34614,2,5000,
bari,6,34615,1,5000,
bari,6,34615,2,5000,
bari,6,34616,1,5000,
bari,6,34616,2,5000,
bari,6,34617,1,5000,
bari,6,34617,2,5000,
bari,6,34618,1,5000,
bari,6,34618,2,5000,
bari,6,34621,1,3447.891,
bari,6,34621,2,2061.766,
bari,6,34623,1,5000,
bari,6,34623,2,5000,
bari,6,34624,1,122.313,
bari,6,34625,2,563.359,
bari,6,34627,1,4285.188,
bari,6,34627,2,3567.5,
bari,6,34702,2,106.344,
bari,6,34704,2,1543.047,
bari,6,34708,2,365.234,
bari,6,34711,1,1087.25,
bari,6,34711,2,5000,
bari,6,34712,1,1747.125,
bari,6,34712,2,1044.734,
bari,6,34713,1,5000,
bari,6,34713,2,5000,
bari,6,34714,1,5000,
bari,6,34714,2,4049.875,
bari,6,34715,1,5000,
bari,6,34715,2,4335.547,
bari,6,34717,1,5000,
bari,6,34717,2,5000,
bari,6,34718,1,2585.375,
bari,6,34718,2,2551.047,
bari,6,34808,2,727.641,
bari,6,34813,1,3018.484,
bari,6,34813,2,2770.469,
bari,6,34817,1,881.906,
bari,6,34817,2,1532.422,
bari,6,35001,1,5000,
bari,6,35001,2,5000,
bari,6,35002,1,2500.671,
bari,6,35002,2,4298.375,
bari,6,35003,1,5000,
bari,6,35003,2,5000,
bari,6,35004,1,5000,
bari,6,35004,2,5000,
bari,6,35005,1,4662,
bari,6,35005,2,5000,
bari,6,35006,1,773.453,
bari,6,35007,1,5000,
bari,6,35007,2,5000,
bari,6,35008,1,5000,
bari,6,35008,2,4488.234,
bari,6,35013,1,788.102,
bari,6,35013,2,508.516,
bari,6,35103,1,1669.289,
bari,6,35103,2,1154.016,
bari,6,42082,2,2907.492,
bari,6,42086,1,5000,
bari,6,42086,2,3627.961,
bari,6,42088,1,1068.981,
bari,6,42091,1,5000,
bari,6,42091,2,5000,
bari,6,42092,1,5000,
bari,6,42092,2,5000,
bari,6,42093,1,1715.6,
bari,6,42093,2,3098.937,
bari,6,42094,1,5000,
bari,6,42094,2,5000,
bari,6,42095,1,5000,
bari,6,42095,2,5000,
bari,6,42096,1,5000,
bari,6,42096,2,5000,
bari,6,42097,1,5000,
bari,6,42097,2,3496.258,
bari,6,42098,1,5000,
bari,6,42098,2,5000,
bari,6,42182,2,2337.75,
bari,6,42184,2,3564.633,
bari,6,42186,2,1827.367,
bari,6,42188,1,4648.676,
bari,6,42188,2,3500.563,
bari,6,42191,1,3708.401,
bari,6,42191,2,5000,
bari,6,42192,1,3745.36,
bari,6,42192,2,5000,
bari,6,42193,1,5000,
bari,6,42193,2,5000,
bari,6,42194,1,5000,
bari,6,42194,2,5000,
bari,6,42195,1,3726.152,
bari,6,42195,2,5000,
bari,6,42196,1,3763.119,
